,Unix Timestamp,Data
323,1621110923.0,526.0
324,1621110924.0,530.9
325,1621110925.0,527.9
326,1621110926.0,527.1
327,1621110927.0,538.7
328,1621110928.0,552.7
329,1621110929.0,555.5
330,1621110930.0,544.6
331,1621110931.0,530.8
332,1621110932.0,525.4
333,1621110933.0,524.1
334,1621110934.0,521.5
335,1621110935.0,520.8
336,1621110936.0,530.2
337,1621110937.0,545.0
338,1621110938.0,542.5
339,1621110939.0,524.7
340,1621110940.0,517.2
341,1621110941.0,523.4
342,1621110942.0,528.5
343,1621110943.0,529.2
344,1621110944.0,530.1
345,1621110945.0,540.8
346,1621110946.0,556.9
347,1621110947.0,560.7
348,1621110948.0,549.1
349,1621110949.0,532.4
350,1621110950.0,520.4
351,1621110951.0,513.8
352,1621110952.0,511.0
353,1621110953.0,513.6
354,1621110954.0,522.0
355,1621110955.0,535.9
356,1621110956.0,547.6
357,1621110957.0,543.4
358,1621110958.0,534.0
359,1621110959.0,535.5
360,1621110960.0,541.1
361,1621110961.0,535.7
362,1621110962.0,524.3
363,1621110963.0,521.2
364,1621110964.0,527.6
365,1621110965.0,536.4
366,1621110966.0,539.9
367,1621110967.0,539.2
368,1621110968.0,539.0
369,1621110969.0,538.5
370,1621110970.0,539.3
371,1621110971.0,541.3
372,1621110972.0,540.6
373,1621110973.0,533.6
374,1621110974.0,521.5
375,1621110975.0,515.2
376,1621110976.0,519.4
377,1621110977.0,531.6
378,1621110978.0,542.4
379,1621110979.0,546.6
380,1621110980.0,548.4
381,1621110981.0,544.4
382,1621110982.0,531.5
383,1621110983.0,518.0
384,1621110984.0,508.5
385,1621110985.0,505.9
386,1621110986.0,514.0
387,1621110987.0,531.1
388,1621110988.0,544.4
389,1621110989.0,545.7
390,1621110990.0,542.2
391,1621110991.0,539.4
392,1621110992.0,534.6
393,1621110993.0,528.6
394,1621110994.0,526.5
395,1621110995.0,527.4
396,1621110996.0,529.2
397,1621110997.0,531.2
398,1621110998.0,533.5
399,1621110999.0,538.6
400,1621111000.0,542.6
401,1621111001.0,538.3
402,1621111002.0,526.0
403,1621111003.0,516.7
404,1621111004.0,516.7
405,1621111005.0,525.9
406,1621111006.0,536.6
407,1621111007.0,538.1
408,1621111008.0,536.8
409,1621111009.0,540.2
410,1621111010.0,542.9
411,1621111011.0,539.4
412,1621111012.0,532.7
413,1621111013.0,529.1
