,type_name,time,temp,wet,Ax,Ay,Az,Mx,My,Mz,Gx,Gy,Gz,lat,lon,batt_v
377,TEMP+IMUx3,489.0,17.3125,1.0,0.08203125,0.9453125,0.05126953125,-0.15,-0.15,-0.15,-20.843505859375,-14.4500732421875,2.9449462890625,,,3.912
378,TEMP+IMUx3,489.9,17.34375,1.0,0.075439453125,1.008544921875,-0.09619140625,19.05,37.949999999999996,-11.549999999999999,-20.43914794921875,-13.80157470703125,-0.95367431640625,,,3.912
379,TEMP+IMUx3,491.0,17.296875,1.0,0.01904296875,1.069091796875,-0.041259765625,-0.15,-0.15,-0.15,-10.33782958984375,2.166748046875,-4.4708251953125,,,3.912
380,TEMP+IMUx3,492.0,17.3359375,1.0,0.055419921875,1.099609375,0.005859375,14.85,39.3,-9.15,2.6702880859375,-3.28826904296875,1.77001953125,,,3.912
381,TEMP+IMUx3,493.0,17.3359375,1.0,0.0498046875,0.91650390625,-0.0185546875,15.45,37.949999999999996,-7.199999999999999,22.216796875,-1.129150390625,-0.54931640625,,,3.912
382,TEMP+IMUx3,494.0,17.25,1.0,0.064697265625,1.152587890625,0.114501953125,-0.15,-0.15,-0.15,20.16448974609375,-4.60052490234375,-10.8642578125,,,3.912
383,TEMP+IMUx3,495.0,17.296875,1.0,0.05419921875,0.971923828125,0.092529296875,-0.15,-0.15,-0.15,-15.3656005859375,9.307861328125,-1.7547607421875,,,3.912
385,TEMP+IMUx3,496.0,17.34375,1.0,0.0712890625,1.008056640625,0.11962890625,-0.15,-0.15,-0.15,2.7008056640625,-3.30352783203125,-6.3629150390625,,,3.912
386,TEMP+IMUx3,497.0,17.3125,1.0,0.0712890625,1.126953125,0.119140625,-0.15,-0.15,-0.15,-14.85443115234375,2.03704833984375,13.24462890625,,,3.912
387,TEMP+IMUx3,498.0,17.2421875,1.0,0.042724609375,0.928466796875,0.0263671875,14.549999999999999,37.5,-2.4,-0.90789794921875,-3.448486328125,12.06207275390625,,,3.912
388,TEMP+IMUx3,499.0,17.265625,1.0,0.082763671875,1.01220703125,-0.034912109375,15.149999999999999,37.65,-5.1,-9.94873046875,8.3770751953125,2.32696533203125,,,3.912
389,TEMP+IMUx3,500.0,17.296875,1.0,0.07763671875,1.077392578125,-0.03173828125,-0.15,-0.15,-0.15,-7.0037841796875,1.373291015625,2.9449462890625,,,3.912
390,TEMP+IMUx3,501.0,17.2578125,1.0,0.07421875,1.065673828125,0.002685546875,-0.15,-0.15,-0.15,0.4730224609375,5.706787109375,0.030517578125,,,3.912
345,TEMP+IMUx3,502.0,17.2421875,1.0,0.088134765625,1.04052734375,0.0029296875,-0.15,-0.15,-0.15,-11.0626220703125,4.425048828125,-14.25933837890625,,,
346,TEMP+IMUx3,503.0,17.2578125,1.0,0.009033203125,0.926025390625,0.093505859375,-0.15,-0.15,-0.15,18.6920166015625,0.2288818359375,17.486572265625,,,
347,TEMP+IMUx3,504.0,17.25,1.0,0.09716796875,0.99365234375,0.01416015625,-0.15,-0.15,-0.15,-2.2735595703125,-4.8675537109375,-9.40704345703125,,,
348,TEMP+IMUx3,505.0,17.203125,1.0,0.013427734375,0.982177734375,0.088623046875,-0.15,-0.15,-0.15,26.519775390625,5.615234375,1.54876708984375,,,
350,TEMP+IMUx3,506.0,17.234375,1.0,0.093994140625,1.11572265625,0.062255859375,-0.15,-0.15,-0.15,10.1165771484375,-13.60321044921875,-2.75421142578125,,,3.912
351,TEMP+IMUx3,507.0,17.1796875,1.0,0.078125,1.069580078125,0.115966796875,14.549999999999999,37.05,-3.15,-7.50732421875,11.932373046875,-20.28656005859375,,,3.912
352,TEMP+IMUx3,508.0,17.1796875,1.0,0.11474609375,0.923828125,0.126953125,-0.15,-0.15,-0.15,-14.373779296875,5.69915771484375,19.5465087890625,,,3.912
353,TEMP+IMUx3,509.0,17.1953125,1.0,0.02783203125,0.9033203125,-0.010009765625,-0.15,-0.15,-0.15,3.99017333984375,-13.13018798828125,21.35467529296875,,,3.912
354,TEMP+IMUx3,510.0,17.203125,1.0,0.10400390625,1.155517578125,-0.055908203125,-0.15,-0.15,-0.15,-12.68768310546875,-7.354736328125,-4.94384765625,,,3.912
355,TEMP+IMUx3,511.0,17.1640625,1.0,0.0751953125,0.94873046875,-0.087890625,3.15,38.55,-3.4499999999999997,-12.969970703125,-7.75909423828125,-2.72369384765625,,,3.912
356,TEMP+IMUx3,512.0,17.140625,1.0,0.04052734375,1.05712890625,0.084228515625,-0.15,-0.15,-0.15,-17.6544189453125,2.35748291015625,-2.1514892578125,,,3.912
357,TEMP+IMUx3,513.0,17.1484375,1.0,0.09423828125,1.022705078125,0.05712890625,-0.15,-0.15,-0.15,20.904541015625,-7.40814208984375,-7.20977783203125,,,3.912
358,TEMP+IMUx3,514.0,17.09375,1.0,0.08251953125,1.005859375,-0.02734375,-0.15,-0.15,-0.15,6.29425048828125,-11.71875,6.81304931640625,,,3.912
359,TEMP+IMUx3,515.0,17.1015625,1.0,0.195556640625,1.089599609375,0.144287109375,-0.15,-0.15,-0.15,14.27459716796875,-17.38739013671875,-15.1824951171875,,,3.912
361,TEMP+IMUx3,516.0,17.109375,1.0,0.263671875,1.152587890625,0.150390625,-0.15,-0.15,-0.15,7.13348388671875,-37.33062744140625,-10.33782958984375,,,3.912
362,TEMP+IMUx3,517.0,17.0703125,1.0,0.164794921875,0.8544921875,0.444580078125,-0.15,-0.15,-0.15,4.33349609375,26.885986328125,71.57135009765625,,,3.912
363,TEMP+IMUx3,518.0,17.0703125,1.0,0.032470703125,1.021728515625,-0.048583984375,-0.15,-0.15,-0.15,53.94744873046875,-16.47186279296875,-2.0294189453125,,,3.912
364,TEMP+IMUx3,519.0,17.0625,1.0,0.172119140625,1.14697265625,-0.0986328125,-0.15,-0.15,-0.15,-5.56182861328125,-48.4466552734375,-8.0108642578125,,,3.912
365,TEMP+IMUx3,520.0,17.0078125,1.0,0.137939453125,0.9658203125,0.01318359375,-0.15,-0.15,-0.15,4.60052490234375,-29.4342041015625,-1.36566162109375,,,3.912
366,TEMP+IMUx3,521.0,17.015625,1.0,0.26220703125,1.006591796875,0.0478515625,-0.15,-0.15,-0.15,-55.13763427734375,-9.31549072265625,5.08880615234375,,,3.912
367,TEMP+IMUx3,522.0,16.9609375,1.0,0.1142578125,1.029052734375,-0.0078125,-0.15,-0.15,-0.15,14.923095703125,5.2337646484375,3.50189208984375,,,3.912
322,TEMP+IMUx3,523.0,16.9765625,1.0,0.025146484375,0.976806640625,-0.1455078125,-0.15,-0.15,-0.15,-5.0048828125,-8.56781005859375,11.72637939453125,,,
323,TEMP+IMUx3,524.0,16.96875,1.0,0.444580078125,0.8671875,0.2177734375,-0.15,-0.15,-0.15,32.75299072265625,-4.2877197265625,-25.970458984375,,,
324,TEMP+IMUx3,525.0,16.9453125,1.0,0.175537109375,1.07763671875,0.12890625,-0.15,-0.15,-0.15,-9.05609130859375,-7.10296630859375,12.1307373046875,,,
326,TEMP+IMUx3,526.0,16.9375,1.0,-0.015625,0.883056640625,0.125,-0.15,-0.15,-0.15,25.07781982421875,5.5999755859375,-18.47076416015625,,,3.912
327,TEMP+IMUx3,527.0,16.9296875,1.0,0.12255859375,1.096435546875,0.124267578125,-0.15,-0.15,-0.15,11.3677978515625,-33.45489501953125,19.22607421875,,,3.912
328,TEMP+IMUx3,527.9,16.90625,1.0,0.096923828125,0.654052734375,0.027099609375,-3.4499999999999997,39.15,-46.05,-10.01739501953125,-4.39453125,-25.53558349609375,,,3.912
329,TEMP+IMUx3,529.0,16.90625,1.0,0.047607421875,1.022216796875,0.08349609375,-0.15,-0.15,-0.15,-26.96990966796875,-9.65118408203125,-13.4735107421875,,,3.912
330,TEMP+IMUx3,530.0,16.8515625,1.0,0.092529296875,1.200439453125,-0.10302734375,-0.15,-0.15,-0.15,-0.64849853515625,4.58526611328125,21.514892578125,,,3.912
331,TEMP+IMUx3,530.9,16.8828125,1.0,0.06298828125,1.11474609375,0.02294921875,-11.1,35.4,-47.55,10.65826416015625,3.662109375,-0.7476806640625,,,3.912
332,TEMP+IMUx3,532.0,16.8203125,1.0,0.152587890625,1.151123046875,0.060302734375,-0.15,-0.15,-0.15,17.5628662109375,-32.623291015625,7.1258544921875,,,3.912
