ride_id,UTC,IMU A2
15693,2018-10-05 22:00:59.169000+00:00,499.0
15693,2018-10-05 22:00:59.301000+00:00,518.0
15693,2018-10-05 22:00:59.433000+00:00,505.0
15693,2018-10-05 22:00:59.565000+00:00,484.0
15693,2018-10-05 22:00:59.697000+00:00,555.0
15693,2018-10-05 22:00:59.829000+00:00,532.0
15693,2018-10-05 22:00:59.961000+00:00,526.0
15693,2018-10-05 22:01:00.093000+00:00,515.0
15693,2018-10-05 22:01:00.225000+00:00,530.0
15693,2018-10-05 22:01:00.357000+00:00,529.0
15693,2018-10-05 22:01:00.489000+00:00,505.0
15693,2018-10-05 22:01:00.621000+00:00,518.0
15693,2018-10-05 22:01:00.753000+00:00,506.0
15693,2018-10-05 22:01:00.885000+00:00,492.0
15693,2018-10-05 22:01:01.017000+00:00,464.0
15693,2018-10-05 22:01:01.149000+00:00,468.0
15693,2018-10-05 22:01:01.281000+00:00,471.0
15693,2018-10-05 22:01:01.413000+00:00,465.0
15693,2018-10-05 22:01:01.545000+00:00,479.0
15693,2018-10-05 22:01:01.677000+00:00,480.0
15693,2018-10-05 22:01:01.809000+00:00,479.0
15693,2018-10-05 22:01:01.941000+00:00,483.0
15693,2018-10-05 22:01:02.073000+00:00,457.0
15693,2018-10-05 22:01:02.205000+00:00,466.0
15693,2018-10-05 22:01:02.337000+00:00,442.0
15693,2018-10-05 22:01:02.469000+00:00,442.0
15693,2018-10-05 22:01:02.601000+00:00,465.0
15693,2018-10-05 22:01:02.733000+00:00,504.0
15693,2018-10-05 22:01:02.865000+00:00,523.0
15693,2018-10-05 22:01:02.997000+00:00,503.0
15693,2018-10-05 22:01:03.129000+00:00,501.0
15693,2018-10-05 22:01:03.261000+00:00,495.0
15693,2018-10-05 22:01:03.393000+00:00,511.0
15693,2018-10-05 22:01:03.525000+00:00,527.0
15693,2018-10-05 22:01:03.657000+00:00,548.0
15693,2018-10-05 22:01:03.789000+00:00,539.0
15693,2018-10-05 22:01:03.921000+00:00,521.0
15693,2018-10-05 22:01:04.053000+00:00,537.0
15693,2018-10-05 22:01:04.185000+00:00,513.0
15693,2018-10-05 22:01:04.317000+00:00,482.0
15693,2018-10-05 22:01:04.449000+00:00,488.0
15693,2018-10-05 22:01:04.581000+00:00,457.0
15693,2018-10-05 22:01:04.713000+00:00,451.0
15693,2018-10-05 22:01:04.845000+00:00,480.0
15693,2018-10-05 22:01:04.977000+00:00,522.0
15693,2018-10-05 22:01:05.109000+00:00,545.0
15693,2018-10-05 22:01:05.241000+00:00,524.0
15693,2018-10-05 22:01:05.373000+00:00,511.0
15693,2018-10-05 22:01:05.505000+00:00,511.0
15693,2018-10-05 22:01:05.637000+00:00,510.0
15693,2018-10-05 22:01:05.769000+00:00,520.0
15693,2018-10-05 22:01:05.901000+00:00,529.0
15693,2018-10-05 22:01:06.033000+00:00,511.0
15693,2018-10-05 22:01:06.165000+00:00,484.0
15693,2018-10-05 22:01:06.297000+00:00,520.0
15693,2018-10-05 22:01:06.429000+00:00,521.0
15693,2018-10-05 22:01:06.561000+00:00,485.0
15693,2018-10-05 22:01:06.693000+00:00,482.0
15693,2018-10-05 22:01:06.825000+00:00,470.0
15693,2018-10-05 22:01:06.957000+00:00,458.0
15693,2018-10-05 22:01:07.089000+00:00,513.0
15693,2018-10-05 22:01:07.221000+00:00,534.0
15693,2018-10-05 22:01:07.353000+00:00,479.0
15693,2018-10-05 22:01:07.485000+00:00,517.0
15693,2018-10-05 22:01:07.617000+00:00,524.0
15693,2018-10-05 22:01:07.749000+00:00,484.0
15693,2018-10-05 22:01:07.881000+00:00,489.0
15693,2018-10-05 22:01:08.013000+00:00,495.0
15693,2018-10-05 22:01:08.145000+00:00,465.0
15693,2018-10-05 22:01:08.277000+00:00,470.0
15693,2018-10-05 22:01:08.409000+00:00,538.0
15693,2018-10-05 22:01:08.541000+00:00,504.0
15693,2018-10-05 22:01:08.673000+00:00,483.0
15693,2018-10-05 22:01:08.805000+00:00,532.0
15693,2018-10-05 22:01:08.937000+00:00,529.0
15693,2018-10-05 22:01:09.069000+00:00,488.0
15693,2018-10-05 22:01:09.201000+00:00,489.0
15693,2018-10-05 22:01:09.333000+00:00,487.0
15693,2018-10-05 22:01:09.465000+00:00,500.0
15693,2018-10-05 22:01:09.597000+00:00,465.0
15693,2018-10-05 22:01:09.729000+00:00,457.0
15693,2018-10-05 22:01:09.861000+00:00,539.0
15693,2018-10-05 22:01:09.993000+00:00,524.0
15693,2018-10-05 22:01:10.125000+00:00,498.0
15693,2018-10-05 22:01:10.257000+00:00,523.0
15693,2018-10-05 22:01:10.389000+00:00,568.0
15693,2018-10-05 22:01:10.521000+00:00,521.0
