UTC,Time,IMU A1,IMU A2,IMU A3,IMU G1,IMU G2,IMU G3,IMU M1,IMU M2,IMU M3,Latitude,Longitude
2020-08-22T15:42:45.3140+00:00,60005,68,463,361,-9,419,194,-12,154,-124,N/A,N/A
2020-08-22T15:42:45.5640+00:00,60255,-9,309,275,302,416,220,30,142,-114,N/A,N/A
2020-08-22T15:42:45.8150+00:00,60506,107,462,464,-104,-234,51,46,128,-102,N/A,N/A
2020-08-22T15:42:46.0030+00:00,60694,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,3285486,-11725942
2020-08-22T15:42:46.0640+00:00,60755,17,298,318,25,-448,-160,29,139,-115,N/A,N/A
2020-08-22T15:42:46.3150+00:00,61006,-23,459,277,285,286,-54,-6,124,-106,N/A,N/A
2020-08-22T15:42:46.5150+00:00,61206,-15,412,276,-538,384,125,35,131,-93,N/A,N/A
2020-08-22T15:42:46.7650+00:00,61456,7,473,150,225,248,275,51,87,-75,N/A,N/A
2020-08-22T15:42:47.0140+00:00,61705,-81,552,288,431,174,-318,63,71,-55,N/A,N/A
2020-08-22T15:42:47.2650+00:00,61956,-32,485,73,214,-45,-16,67,71,-49,N/A,N/A
2020-08-22T15:42:47.5140+00:00,62205,-86,711,126,-108,281,-540,70,58,-38,N/A,N/A
2020-08-22T15:42:47.7650+00:00,62456,17,462,55,266,387,109,91,63,-7,N/A,N/A
2020-08-22T15:42:48.0140+00:00,62705,6,572,128,68,-40,139,84,50,-12,N/A,N/A
2020-08-22T15:42:48.2650+00:00,62956,43,403,124,113,-227,-238,84,42,6,N/A,N/A
2020-08-22T15:42:48.5140+00:00,63205,-12,536,14,319,-58,51,77,47,-5,N/A,N/A
2020-08-22T15:42:48.7150+00:00,63406,-46,587,87,97,114,-302,90,38,22,N/A,N/A
2020-08-22T15:42:48.9640+00:00,63655,-100,455,-2,46,81,102,89,47,25,N/A,N/A
2020-08-22T15:42:49.2150+00:00,63906,-21,481,27,230,-235,57,72,18,8,N/A,N/A
2020-08-22T15:42:49.4650+00:00,64156,-15,484,71,-166,-236,348,78,38,16,N/A,N/A
2020-08-22T15:42:49.7150+00:00,64406,4,479,-26,150,133,-6,62,32,12,N/A,N/A
2020-08-22T15:42:49.9640+00:00,64655,-93,456,-51,243,191,-22,80,22,28,N/A,N/A
2020-08-22T15:42:50.1650+00:00,64856,-95,484,-17,-228,208,87,82,34,40,N/A,N/A
2020-08-22T15:42:50.4140+00:00,65105,-119,518,8,-15,-173,38,92,34,30,N/A,N/A
2020-08-22T15:42:50.6640+00:00,65355,-94,538,-11,9,-409,-89,76,38,10,N/A,N/A
2020-08-22T15:42:50.9150+00:00,65606,-19,474,44,65,-757,87,38,30,-12,N/A,N/A
2020-08-22T15:42:51.0090+00:00,65700,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,3285488,-11725940
2020-08-22T15:42:51.1650+00:00,65856,-60,504,-3,152,-508,163,0,28,-10,N/A,N/A
2020-08-22T15:42:51.3650+00:00,66056,-82,522,-30,88,-274,68,-27,13,-3,N/A,N/A
2020-08-22T15:42:51.5650+00:00,66256,-97,540,-30,-31,-137,124,-36,16,14,N/A,N/A
2020-08-22T15:42:51.7650+00:00,66456,-67,498,-47,15,-134,22,-48,16,8,N/A,N/A
2020-08-22T15:42:51.9640+00:00,66655,-36,475,-53,-65,-59,-14,-49,23,13,N/A,N/A
2020-08-22T15:42:52.1650+00:00,66856,-69,534,-16,-167,48,-19,-51,19,-5,N/A,N/A
2020-08-22T15:42:52.3650+00:00,67056,-110,521,13,-37,49,118,-43,29,-5,N/A,N/A
2020-08-22T15:42:52.5640+00:00,67255,-84,489,28,33,144,28,-43,21,-7,N/A,N/A
2020-08-22T15:42:52.7650+00:00,67456,-46,509,54,12,94,14,-38,32,-10,N/A,N/A
2020-08-22T15:42:52.9650+00:00,67656,-72,504,19,-30,37,5,-41,23,-13,N/A,N/A
2020-08-22T15:42:53.1650+00:00,67856,-62,511,47,28,45,51,-37,25,-13,N/A,N/A
2020-08-22T15:42:53.3650+00:00,68056,-78,504,21,14,-5,-21,-37,21,-11,N/A,N/A
2020-08-22T15:42:53.5640+00:00,68255,-60,497,18,7,67,40,-40,26,-12,N/A,N/A
2020-08-22T15:42:53.7640+00:00,68455,-72,505,26,20,46,20,-34,34,-10,N/A,N/A
2020-08-22T15:42:53.9650+00:00,68656,-69,510,40,4,1,46,-32,36,-12,N/A,N/A
2020-08-22T15:42:54.1650+00:00,68856,-53,493,13,24,-6,-13,-36,34,-16,N/A,N/A
2020-08-22T15:42:54.3650+00:00,69056,-54,503,21,0,46,34,-32,32,-16,N/A,N/A
2020-08-22T15:42:54.5650+00:00,69256,-53,515,18,40,12,43,-36,34,-16,N/A,N/A
2020-08-22T15:42:54.7650+00:00,69456,-16,468,-34,85,28,-11,-28,32,-20,N/A,N/A
2020-08-22T15:42:54.9650+00:00,69656,-19,471,17,1,98,138,-29,27,-21,N/A,N/A
2020-08-22T15:42:55.1650+00:00,69856,-59,536,4,37,11,-397,-9,27,-11,N/A,N/A
2020-08-22T15:42:55.4150+00:00,70106,-110,544,61,75,29,-167,-3,25,-17,N/A,N/A
2020-08-22T15:42:55.6140+00:00,70305,-100,537,-48,10,234,-262,4,34,-18,N/A,N/A
2020-08-22T15:42:55.8140+00:00,70505,-180,637,155,135,230,321,7,31,-3,N/A,N/A
2020-08-22T15:42:56.0140+00:00,70705,-94,476,-36,79,81,-150,3,23,3,N/A,N/A
2020-08-22T15:42:56.0150+00:00,70706,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,3285488,-11725939
2020-08-22T15:42:56.2650+00:00,70956,-117,456,-63,33,26,194,-3,9,7,N/A,N/A
2020-08-22T15:42:56.4650+00:00,71156,-159,538,-21,-138,336,-88,15,17,7,N/A,N/A
2020-08-22T15:42:56.7150+00:00,71406,-117,505,-86,-108,-11,-4,32,10,12,N/A,N/A
2020-08-22T15:42:56.9650+00:00,71656,-112,423,-108,129,24,-50,38,16,22,N/A,N/A
2020-08-22T15:42:57.1650+00:00,71856,-130,495,26,-124,14,102,41,21,11,N/A,N/A
2020-08-22T15:42:57.4150+00:00,72106,-132,519,-20,-50,-243,56,36,24,-14,N/A,N/A
2020-08-22T15:42:57.6650+00:00,72356,-104,517,10,92,-134,-27,37,35,-15,N/A,N/A
2020-08-22T15:42:57.8650+00:00,72556,-89,484,13,49,-77,80,17,27,-15,N/A,N/A
2020-08-22T15:42:58.0650+00:00,72756,-140,527,26,56,-76,14,21,27,-15,N/A,N/A
2020-08-22T15:42:58.2650+00:00,72956,-138,501,19,-38,-45,53,19,27,-17,N/A,N/A
2020-08-22T15:42:58.4650+00:00,73156,-94,488,29,7,-224,59,1,27,-17,N/A,N/A
2020-08-22T15:42:58.7140+00:00,73405,-112,489,0,35,-239,23,-9,21,-21,N/A,N/A
2020-08-22T15:42:58.9150+00:00,73606,-67,499,41,-16,-57,117,-26,40,-16,N/A,N/A
2020-08-22T15:42:59.1140+00:00,73805,-100,488,18,39,-141,10,-43,23,-15,N/A,N/A
2020-08-22T15:42:59.3150+00:00,74006,-85,509,16,-10,-94,-33,-39,25,-11,N/A,N/A
2020-08-22T15:42:59.5140+00:00,74205,-88,504,29,57,-21,53,-38,26,-6,N/A,N/A
2020-08-22T15:42:59.7140+00:00,74405,-79,502,43,2,24,11,-45,25,-17,N/A,N/A
2020-08-22T15:42:59.9150+00:00,74606,-78,507,55,8,38,15,-47,29,-17,N/A,N/A
2020-08-22T15:43:00.1150+00:00,74806,-93,499,27,-22,74,17,-48,36,-16,N/A,N/A
2020-08-22T15:43:00.3150+00:00,75006,-92,503,44,81,33,-15,-38,24,-14,N/A,N/A
2020-08-22T15:43:00.5150+00:00,75206,-80,494,53,52,47,-11,-32,26,-18,N/A,N/A
2020-08-22T15:43:00.7140+00:00,75405,-88,509,65,6,1,2,-27,27,-13,N/A,N/A
2020-08-22T15:43:00.9150+00:00,75606,-89,518,48,-6,-48,45,-34,26,-16,N/A,N/A
2020-08-22T15:43:01.0190+00:00,75710,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,3285488,-11725939
2020-08-22T15:43:01.1150+00:00,75806,-107,492,48,91,-60,74,-37,33,-23,N/A,N/A
2020-08-22T15:43:01.3140+00:00,76005,-69,501,57,29,-97,-4,-43,25,-15,N/A,N/A
2020-08-22T15:43:01.5150+00:00,76206,-96,529,73,47,-213,12,-41,27,-13,N/A,N/A
2020-08-22T15:43:01.7150+00:00,76406,-68,488,53,46,-232,64,-71,31,-15,N/A,N/A
2020-08-22T15:43:01.9150+00:00,76606,-60,497,54,24,-275,-9,-74,22,4,N/A,N/A
2020-08-22T15:43:02.1150+00:00,76806,-77,512,59,29,-258,34,-84,26,28,N/A,N/A
2020-08-22T15:43:02.3150+00:00,77006,-70,512,35,43,-240,12,-83,11,27,N/A,N/A
2020-08-22T15:43:02.5140+00:00,77205,-78,508,8,64,-114,-14,-106,8,42,N/A,N/A
2020-08-22T15:43:02.7150+00:00,77406,-87,511,10,34,114,29,-96,26,52,N/A,N/A
2020-08-22T15:43:02.9150+00:00,77606,-82,501,24,-5,186,9,-97,17,39,N/A,N/A
2020-08-22T15:43:03.1150+00:00,77806,-65,526,66,-35,138,73,-85,19,21,N/A,N/A
2020-08-22T15:43:03.3140+00:00,78005,-69,484,16,85,84,28,-87,21,25,N/A,N/A
2020-08-22T15:43:03.5140+00:00,78205,-70,516,27,-6,88,-29,-84,20,36,N/A,N/A
2020-08-22T15:43:03.7150+00:00,78406,-85,515,21,-3,93,46,-81,17,25,N/A,N/A
2020-08-22T15:43:03.9150+00:00,78606,-92,497,7,10,68,35,-81,13,27,N/A,N/A
2020-08-22T15:43:04.1150+00:00,78806,-85,510,20,-3,88,-7,-63,15,17,N/A,N/A
2020-08-22T15:43:04.3150+00:00,79006,-76,509,43,99,58,-28,-69,17,11,N/A,N/A
2020-08-22T15:43:04.5140+00:00,79205,-92,505,-5,-6,21,19,-69,9,23,N/A,N/A
2020-08-22T15:43:04.7150+00:00,79406,-92,503,-10,-13,26,6,-68,4,22,N/A,N/A
2020-08-22T15:43:04.9140+00:00,79605,-70,515,-7,60,-124,0,-64,10,24,N/A,N/A
2020-08-22T15:43:05.1650+00:00,79856,-119,484,-28,5,-14,-87,-61,9,39,N/A,N/A
2020-08-22T15:43:05.3640+00:00,80055,-128,524,-47,25,-115,-104,-57,9,45,N/A,N/A
2020-08-22T15:43:05.5650+00:00,80256,-91,509,37,-48,4,80,-57,3,39,N/A,N/A
2020-08-22T15:43:05.7650+00:00,80456,-101,510,-11,-1,-51,8,-62,4,42,N/A,N/A
2020-08-22T15:43:05.9650+00:00,80656,-101,471,-42,53,-65,-49,-63,-1,35,N/A,N/A
2020-08-22T15:43:06.0240+00:00,80715,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,3285489,-11725938
2020-08-22T15:43:06.1650+00:00,80856,-173,503,-68,-26,21,-147,-63,7,43,N/A,N/A
2020-08-22T15:43:06.3640+00:00,81055,-104,478,-62,-11,50,-7,-43,-1,33,N/A,N/A
2020-08-22T15:43:06.5650+00:00,81256,-123,543,-36,5,-15,160,-42,8,40,N/A,N/A
2020-08-22T15:43:06.7650+00:00,81456,-101,529,189,-83,-44,392,-54,8,20,N/A,N/A
2020-08-22T15:43:06.9640+00:00,81655,-65,472,27,-67,-138,3,-60,2,30,N/A,N/A
2020-08-22T15:43:07.2150+00:00,81906,-145,526,-17,141,108,66,-57,15,35,N/A,N/A
2020-08-22T15:43:07.4140+00:00,82105,-143,466,-26,105,10,158,-71,3,43,N/A,N/A
2020-08-22T15:43:07.6150+00:00,82306,-114,477,-40,-98,-10,49,-74,4,52,N/A,N/A
2020-08-22T15:43:07.8640+00:00,82555,-138,566,-17,-96,-34,-73,-61,5,33,N/A,N/A
2020-08-22T15:43:08.0650+00:00,82756,-149,528,13,28,18,80,-66,-4,44,N/A,N/A
2020-08-22T15:43:08.2640+00:00,82955,-67,437,37,146,-157,25,-83,5,45,N/A,N/A
2020-08-22T15:43:08.5140+00:00,83205,-72,547,38,-73,-18,12,-66,6,46,N/A,N/A
2020-08-22T15:43:08.7650+00:00,83456,-76,515,-20,29,264,88,-62,-2,54,N/A,N/A
2020-08-22T15:43:08.9650+00:00,83656,-194,489,-56,-17,308,-60,-55,1,45,N/A,N/A
2020-08-22T15:43:09.2150+00:00,83906,-162,473,-53,132,-14,-143,-50,10,44,N/A,N/A
2020-08-22T15:43:09.4640+00:00,84155,-183,532,-70,-109,-26,-105,-26,0,40,N/A,N/A
2020-08-22T15:43:09.7150+00:00,84406,-168,623,26,119,162,-121,-22,-2,34,N/A,N/A
2020-08-22T15:43:09.9150+00:00,84606,-151,360,13,117,130,346,-18,-6,54,N/A,N/A
2020-08-22T15:43:10.1650+00:00,84856,-154,478,-72,-102,-73,-238,-11,1,43,N/A,N/A
